"Name","year","month","city_num","pm25","lr_op","DATE","AWND","TAVG","PRCP"
"Asheville",2005,72,4,9.21834804020545,0,"2005-12",0,2.28,66.4
"Asheville",2006,73,4,7.73361996410203,0,"2006-01",0,6.37,105.4
"Asheville",2006,74,4,10.171993977796,0,"2006-02",0,4.32,37.9
"Asheville",2006,75,4,12.9711889070514,0,"2006-03",0,9.02,28.6
"Asheville",2006,76,4,11.8218804886067,0,"2006-04",0,15.86,130.4
"Asheville",2006,77,4,12.7889104627921,0,"2006-05",0,17.13,71.9
"Asheville",2006,78,4,16.5457733241684,0,"2006-06",0,21.4,102.1
"Asheville",2006,79,4,20.1459289417259,0,"2006-07",0,24.16,76.9
"Asheville",2006,80,4,19.1028494016343,0,"2006-08",0,24.57,91.9
"Asheville",2006,81,4,14.2383022904726,0,"2006-09",0,18.36,96.3
"Asheville",2006,82,4,9.50731950025771,0,"2006-10",0,12.39,60.6
"Asheville",2006,83,4,8.48577794009719,0,"2006-11",0,8.9,98.5
"Asheville",2006,84,4,8.74017207582797,0,"2006-12",0,6.62,100.9
"Asheville",2007,85,4,7.40544589061109,0,"2007-01",0,4.18,43.2
"Asheville",2007,86,4,8.92360512342549,0,"2007-02",0,2.23,24.8
"Asheville",2007,87,4,13.7438993208253,0,"2007-03",0,11.98,88
"Asheville",2007,88,4,9.6530304735627,0,"2007-04",0,11.95,40.2
"Asheville",2007,89,4,14.6596964611584,0,"2007-05",0,18.39,18.7
"Asheville",2007,90,4,17.674368245572,0,"2007-06",0,22.11,38.1
"Asheville",2007,91,4,17.1739311216347,0,"2007-07",0,22.53,93
"Asheville",2007,92,4,22.5987135508408,0,"2007-08",0,25.53,28.1
"Asheville",2007,93,4,17.5831134917825,0,"2007-09",0,21.14,68.1
"Asheville",2007,94,4,8.10394929356403,0,"2007-10",0,16.14,50
"Asheville",2007,95,4,9.38659900520847,0,"2007-11",0,8.32,30.3
"Asheville",2007,96,4,8.4664985437563,0,"2007-12",0,7.28,76.8
"Asheville",2008,100,4,8.75110643365077,0,"2008-04",0,13.56,58.7
"Asheville",2008,101,4,10.5407107620893,0,"2008-05",0,17.65,39.5
"Asheville",2008,102,4,13.640914448531,0,"2008-06",0,22.75,35.6
"Asheville",2008,103,4,15.0597949942628,0,"2008-07",0,23.34,49.8
"Asheville",2008,104,4,13.2025928941058,0,"2008-08",0,23.13,124.2
"Asheville",2008,105,4,10.5119746549825,0,"2008-09",0,20.28,38.2
"Asheville",2008,106,4,8.28383232161089,0,"2008-10",0,12.93,26.4
"Asheville",2008,107,4,7.80011157240116,0,"2008-11",0,6.75,57.5
"Asheville",2008,108,4,5.44786843542209,0,"2008-12",0,6.1,73.9
"Asheville",2008,97,4,7.60162206949312,0,"2008-01",0,2.77,45
"Asheville",2008,98,4,8.56573216429697,0,"2008-02",0,6.33,85.6
"Asheville",2008,99,4,9.52759456832379,0,"2008-03",0,8.58,93.9
"Asheville",2009,109,4,7.87031749013341,0,"2009-01",0,2.94,48
"Asheville",2009,110,4,9.16959215736841,0,"2009-02",0,4.7,45.7
"Asheville",2009,111,4,9.44893140839759,0,"2009-03",0,9.33,78.5
"Asheville",2009,112,4,8.27378855056618,0,"2009-04",0,13.63,77.7
"Asheville",2009,113,4,6.86519590384382,0,"2009-05",0,18.31,195.8
"Asheville",2009,114,4,12.367036222851,0,"2009-06",0,22.7,82.8
"Asheville",2009,115,4,11.7177571669558,0,"2009-07",0,21.86,63.6
"Asheville",2009,116,4,11.4034778183682,0,"2009-08",0,23.09,173.6
"Asheville",2009,117,4,9.64372461623671,0,"2009-09",0,19.84,206.2
"Asheville",2009,118,4,5.56734205399662,0,"2009-10",0,13.2,98.5
"Asheville",2009,119,4,7.02144541618405,0,"2009-11",0,9.93,99.3
"Asheville",2009,120,4,6.86731382002554,0,"2009-12",0,3.38,173.5
"Asheville",2010,121,4,8.39955053932934,0,"2010-01",0,0.32,105.1
"Asheville",2010,122,4,8.8273783887217,0,"2010-02",0,0.36,83.5
